Risk Title,Risk Desc,Category,Risk Type,Risk Subtype,Severity,Likelihood,Impact,Mitigation Plan,Contingency Plan,Mitigation Status,Risk Org Impact Strategy
"Resource Onboarding","We are currently hiring and onboarding resources to the LD account across different Value Streams. Both Ascendion and LD BGV checks are applicable for the resources.

The Ascendion BGV check takes at least two months, and Client BGV takes two to three weeks for completion. We can onboard the resources and request for LD accesses only after at least LD BGV completion. 

Delay in onboarding resources could lead to client concerns. Project-Level     Organizational                         Resources         Major    Possible      High","We are creating resource pool to mitigate possible BGV failures

We have to hire and onboard new resource and again start BGV process",Identified,Client Relationship, Reputation Loss  Mitigate
"Customer Acquisition-1","Transition can not start due to limited availability of loanDepot SMEs for lead engineering.                   Organizational                         Resources         Major    Possible      High","Start working on all the access activities once BGV is cleared and loanDepot credentials are created and also baseline the transition plan considering these possible delays.",,Identified
"Customer Acquisition-2","Transition will be slow paced due to limited availability of loanDepot SMEs for Direct CRM.                   Organizational                         Resources         Major    Possible      High","SMEs will be available to give 2 hours of transition every week starting 17-July.",,Identified
"Customer Acquisition-3","Delay in transition start for LD Web due to non-identification of the resources.                   Organizational                         Resources         Major    Possible      High","Expedited onboarding for Anoop - FS lead selected for LD Web. Replacement of Srirama identified for FS dev role.",,Identified
"Origination-1","Delayed transition start due to FS leads/developers not being identified.                   Organizational                         Resources         Major    Possible      High","The positions have been split into primary/secondary skill so that the skill requirement by position is clear.",,Identified
"Origination-2","Delay in starting transition for Origination stream due to Un-Availability of Offshore Engineering Manager for Origination LOB.                   Organizational                         Resources         Major    Possible      High","TAT team to source quality lead profiles in full swing.",,Identified
"QE","Team burnout due to late working hours for offshore team (as requested by loanDepot QA managers).                   Organizational                         Resources         Major    Possible      High","Team meetings to be planned during the offshore overlap hours. Few offshore team members can support (as needed) during extended hours on a round-robin fashion.",,Identified
"Servicing-1","Increase in load of peer developers due to non-fulfillment of Leads positions at offshore.                   Organizational                         Resources         Major    Possible      High","Ensuring TAT shares more quality profiles and our interview process is made more robust.",,Identified
"Servicing-2","Technical skill gap due to non-fulfillment of Mobile/IOS lead position at onsite.                   Organizational                         Resources         Major    Possible      High","Ensuring TAT shares more quality profiles and our interview process is made more robust.",,Identified
"Servicing-3","Delay in transition sessions due to secondary SMEs for each track not identified.                         External                          Customer         Major    Possible      High","Following up with loanDepot to get the secondary SME for each track.",,Identified
"Servicing-4","CRM related KT will not be acquired due to non-fulfillment of the CRM developer.                   Organizational                         Resources         Major    Possible      High","Ensuring TAT shares more quality profiles and our interview process is made more robust.",,Identified
"LD Core Engg - Delay in access to code base, SDLC tools etc.","Delayed grant of access to the code base, SDLC tools etc. due to long approval cycles, SLAs etc.                         External                          Customer         Major    Possible      High","",,Identified
"LD Core Engg - Delay in Workday access","Workday Access                         External                          Customer         Major    Possible      High","",,Identified
"LD Core Engg - Knowledge - Attrition","Loss of knowledge due to attrition.                    Organizational                         Resources         Major    Possible      High","",,Identified
"LD Core Engg - KT - Industry experience","Impact on KT quality due to lack of Mortage industry experience & knowledge for the onboarded team                   Organizational                         Resources         Major    Possible      High","",,Identified
"LD Core Engg - performance baseline an code coverage metrics","New issues coming up will be difficult to baseline since performance baseline and code Coverage metrics for existing code not available                         External                          Customer         Major    Possible      High","",,Identified
