Risk Title,Risk Desc,Category,Risk Type,Risk Subtype,Severity,Likelihood,Impact,Mitigation Plan,Contingency Plan,Mitigation Status,Risk Org Impact Strategy
"Dev, QA/Staging and Production Environment mapping for Monroney Application with other Systems that are integrated","Mapping of Monroney Application Environment with the Integrations to the Systems not available in the Plan yet","Project Management","Planning","Moderate","Unlikely","Medium","Raised this with VOLVO will need to be added to the Plan and Tracked
for Dev, QA, Staging? and for Production [Mapping of Source and Target Systems]","Identified",,,
"DoD Agreement within the Team","Definition of Done not Clear","Project Management","Execution","Minor","Unlikely","Low","* This was discussed in Scrum on 7/8 - Team agreed to push to DONE status on the Kanban board in ADO/JIRA to give cue to Testing team / Review Teams to act on Testing and Reviews on PBI and Tasks","Identified",,,
"Port Processing Testing and Support","Port Processing for each Location might be Unique, and need to draw proper Alignment with applicable Support and Business teams - This may pose issues during SIT/UAT","Project Management","Planning","Moderate","Unlikely","Medium","* Project Plan covers specific tasks - This needs to action with relevant Business and Support folks as identified for each Port location in scope for Wave 1","Identified",,,
"Product Backlog Refinement MOS","Product Backlog Refinement / Grooming not structured. 
In Sprint grooming seen","Project Management","Execution","Moderate","Unlikely","Medium","Need to coach and set up MOS by brining in best practice. hear out to the team on other practical challenges via Retrospection session(s)","Assessed",,,
"SOW Scope to fullfilment","SOW Scope is not mapped with Requirements Tags - This may outfall as Commitment Not fulfilled Per agreement and since this is tied to commercials","Project Management","Planning","Major","Possible","High","Current plan is to anchor on Requirements excel file compiled by the Product Owner for the EPICS and FEATURES. Need to True Up the SOW with a Change Request","Submit a Change Request and get that Signed with the Scope that is finally agreed with the business","Identified",,,
"Support Transition for MVP Support","No plan exists on Support Transition / End to end Support Ecosystem - L1/L2/L3...","Project Management","Planning","Severe","Unlikely","High","* Agreed to handle separately as the Contract Proposal
* Lucy and Wally to discuss this further and provide the Scope for Ascendion","Identified",,,
"UAT Readiness by business and Test Scenarios","UAT Readiness Not in Project Plan - This will need a structured Test Scenarios and Test Cases mapped to the EPICS / Features / User Stories as applicable","Project Management","Planning","Moderate","Unlikely","Medium","Requested Business PMO to add UAT readiness in the Master Plan for the project and also requested for UAT Test cases / scenarios for Ascendion at least 2 weeks from start of UAT","Identified",,,
"UI Development in the current plan is a Risk to Schedule as the ETA is late Sprint / Iteration 4","Following PBIs that are planned to finish Late in Sprint 4 Have to be elaborated for any dependencies and understand possibilities to finish earlier in Sprint 4 cycle
3203941 - 3/29
3212904 - 3/29
3212906
3214202
3214341
3214342
3214350
3214358 - 3/29
3214362
3214367
3202667 - 3/29","Project Management","Execution","Major","Possible","High","* Sprint 4 must be used as buffer and/or Code factoring / Defect fixing, doing development that far may be risky (current plan for UAT is 4/3 - 4/7)
* If these have to start late and finish late then Goutam M has to review these and ensure we have zero technical risk / complexity and or any dependency with BE and or with any integration APIs","Assessed",,,
"VBOX API Changes","Decision on VBOX API Changes not available","Project Management","Planning","Major","Unlikely","Medium","* This is not a dependency for Dev team (Need to confirm this with Goutam M), however this needs to be decided for Wave 1 Go Live","Identified",,,
"Critical Resources plan of deployment","Phase-1 currently progressing and Phase-2 expected to start by 1st Feb 2024.
Solution Architect who plays the significant role and also MEAN stack developers yet to be identified to kickoff development as per the plan.","Project-Level","Project Management","Planning","Minor","Possible","Medium","Currently working on inclusion of Solution architect position in pricing sheet and validation of suitable profiles.
Started focusing on MEAN stack developer L1/L2 validations. 

04th April 24:
Critical roles deployed and Development started effective from 15th Mar.
","Resolved","Financial Impact, Reputation Loss","Mitigate"
