Risk Title,Risk Desc,Category,Risk Type,Risk Subtype,Severity,Likelihood,Impact,Mitigation Plan,Contingency Plan,Mitigation Status,Risk Org Impact Strategy
"Inadequate unit testing","Partial unit testing is observed in the project. In case of any requirement change related unit test cases are not updated and tracked. This will result in inadequate test coverage and incomplete validations leading to defect leakages to further stages. It is recommended to report this risk in status reports for transparency even though the client is fine with the current approach. Project-Level          Technical                   Software update      Moderate    Possible      High","The client has been informed about the same and has to take appropriate action",The client has been informed about the same and has to take appropriate action,Reputation Loss   Accept
"1 open PMO role need to be filled-1","1 resource BGV failed and need to find a replacement. Project-Level     Organizational                         Resources         Major    Possible      High","Working with HR team to fill the open role",,Resolved,Financial Impact Mitigate
"Delay in Onboarding the resource & Citi access. Dhivya identified as a replacement for Anto","Dhivya Bharathi  identified as a replacement for Anto. Her Citi BGV check started on 22-Feb-2023. BGV need to be completed on/before 20 working days. Project-Level     Organizational                         Resources         Major    Possible      High","Working with BGV Team to speed up the process. Once BGV completed we will raise the Citi access request immediately",,Resolved,Financial Impact Mitigate
"Delivery -Vibhas CITI access request not raised yet.  Delay in completing the Onboarding.-1","Vibhas Citi access request not raised yet Project-Level          Technical           Connectivity and access         Major    Possible      High","Following up with Citi to get an approval & immediately will inform Reema to initiate the mobile token & Temp password request once we get an approval.

All issues resloved",,Resolved,Financial Impact Mitigate
"Delivery -Vibhas CITI access request not raised yet. Delay in completing the Onboarding.-2","Priyesh (Onshore operations team) not shared the BGV completion document to Lynn. Project-Level     Organizational                         Resources         Major    Possible      High","We requested to Priyesh to join the daily connect to share the BGV intermediate updates & issues. To speed up the BGV process.

Note - Vibha is onboareded",,Resolved,Reputation Loss,Financial Impact Mitigate
"Need to find the replacement for Devesh due to performance issue.","We received the final feedback from Reema to roll off Devesh. And we initiated the roll off on 31-May-2023.
Replacement for Devesh will be joining on 21-Jun-2023
 Project-Level     Organizational                         Resources         Major    Unlikely    Medium","L2 Client PMO interviews completed on 11-May-2023. Lakshmi Sravani identified as replacement resource for Devesh. Citi BGV initiated on 19-May-2023. Ascendion joining date is 21-Jun-2023. 

Sravani rolled off from the project
",,Resolved,Client Relationship Transfer
"SOW extension","Citi PMO project SOW going to end on 30-Jul-2023. Client wants to HOLD the onboarding process of the replacement resource at the moment due to potential funding issue for SOW renewal  & If the SOW renewal does get accepted, it could potentially be for 2 resources instead of 4 resources.?Note - Its still in discussion & no final decision taken Project-Level Project Management                  Revenue / Margin         Major    Possible      High","Rahul (CP) closely working with Citi client team to get a SOW extension for this Citi PMO project. 
",,Resolved,Client Relationship,Financial Impact Mitigate
"Citi - PMO Project resources working in Remote","Risk – Network Connectivity issue.

Context: As part of WFH, the connectivity to the network by the resources are via mobile hotspot/ dongles/ broadband connectivity.

Condition: There are minor latency observed in network connectivity but there is no noticeable delay. There are also instances of power failures resulting in connectivity issues.

Consequences: As team will operate from WFH for a longer period, having network issues and power failures will lead to delay in resolving tasks which could potentially impact the deadlines/SLA’s. 
 Project-Level           External                           Weather      Moderate    Unlikely    Medium","Resources have necessary backup in terms of electricity and network issues.",,Resolved,Financial Impact   Accept
"VDR Callers not Supported","Vendor callers have reported being turned away password reset. these were not in scope prior or missed by DSG in KT.  Ascendion will take on support once DSG creates an SOP, the volime of calls expected are minimal and non-impacting to team.expectation of no more than 5 calls a week. DSG will need to determine the level of security for callers around verification and authentication to allow Ascendion to make the password reset as set in SOP.. Project-Level Project Management                          Planning         Minor Very Likely      High","DSG to establish SOP

SOP fulfilled in Q3
Vender calls resolved with process

since Q4, password reset is no longer a requirement for support

since Q4, password reset is no longer a requirement for support",Reassign ticket to Service desk,Resolved,Client Relationship,Data Loss Mitigate
"PSWR team ticket entry","Password reset team ticket creation not matching CISCO report Project-Level Project Management                         Execution      Moderate Very Likely Very High","Team reminders are sent weekly. CISCO report is monthly and can be validated only in the first week of each month
PSWD resolved with the improved security updates from Q4.    Ascendion no longer supports this need as it no longer exists.

Nightly team is sending end of day status reports on calls, inbound, outbound and drops.",,Resolved,Data Loss Mitigate
"CSAT monitoring and tracking in Client","today CSAT feature is not a part of JIRA.   
 Project-Level     Organizational                          Planning         Minor    Unlikely    Medium","DSG to install and integrate SNOW in 2026.  this will be added as a requirement.

track CSAT in WSR and MBR only",,Identified,Client Relationship Mitigate
