Risk Title,Risk Desc,Category,Risk Type,Risk Subtype,Severity,Likelihood,Impact,Mitigation Plan,Contingency Plan,Mitigation Status,Risk Org Impact Strategy
"ASSETMGMTA-11905","P2-CSC-Multi-Select-Dropdowns Project-Level Project Management                         Execution         Major    Possible      High","Support Story. No specific action needed in terms of additional effort",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"ASSETMGMTA-15352-1","P2-CSC- Fund and Routine Navigation Panel Project-Level Project Management                         Execution         Major    Possible      High","1.Remove UI component from Phase 1",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"ASSETMGMTA-15352-2","P2-CSC- Fund and Routine Navigation Panel Project-Level Project Management                         Execution         Major    Possible      High","1.Remove UI component from Phase 1",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"ASSETMGMTA-18217","P2-EX-QAB-Collapsible More Info and C&A Section Project-Level Project Management                         Execution         Major    Possible      High","Minor UI change to containerize More Info and C&A section for routines",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"ASSETMGMTA-18868","P2-CSC- Alerts/Notifications Project-Level Project Management                         Execution         Major    Possible      High","UI and Backend Updates - Low Priority and might be descoped",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"ASSETMGMTA-18879","P2-CSC- Legend Project-Level Project Management                         Execution         Major    Possible      High","None (Tracking only)",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"ASSETMGMTA-18890","P2-CSC- More Information Project-Level Project Management                         Execution         Major    Possible      High","None (Tracking only)",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"ASSETMGMTA-18901","P2-CSC- Completeness and Accuracy Project-Level Project Management                         Execution         Major    Possible      High","CFC team was asked to take this up as its similar to Tie Out screen layout. ",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"ASSETMGMTA-18912","P2-CSC- Export Project-Level Project Management                         Execution         Major    Possible      High","Remove keep filters",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"ASSETMGMTA-19796","Requirement  - P2- CSC- Stepper Icons Project-Level Project Management                         Execution         Major    Possible      High","None (Supporting Requirement - No direct changes)",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"ASSETMGMTA-9051","P2-CSC- Conclusion and Additional Procedures Project-Level Project Management                         Execution         Major    Possible      High","Components already exist in web page needs to be moved to QAB",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"ASSETMGMTA-9331","P2-CSC- Source Data Viewer Project-Level Project Management                         Execution         Major    Possible      High","Remove Transformed Data Tab",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"ASSETMGMTA-9674","P2 - CSC - Email Notifications (Old number 9199) Project-Level Project Management                         Execution         Major    Possible      High","Being delivered by CFC team. Need to check with CFC team",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"Continuity of key resources","	Efforts to identify and retain key team members
	Implement formal onboarding/transition plans and ensure availability of onboarding collateral
	Over the last 12 months, lost key team members  2x DB Architects (Yuri, Gokhan), Solution Architect (Rakesh), Product Owner (Tina), Delivery Leader (Sudheep), Testing Lead (Kinjal) Project-Level     Organizational                         Resources         Minor    Unlikely       Low","Key reources ( righ skill level and satisfactory performance /productivity ) identified - monitor for attrition risk and address with appropriate retention tactics 

5/19/23 - No risk of attrition of key members in the team. Reducing severity and priority",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"Delays in Infrastructure Environment set up","Set-up of development, test and production infrastructure in the global tenant.  Timeline needed to ensure alignment to current development/project timing. Project-Level          Technical                Hardware breakdown      Moderate    Possible      High","	Create plan and timeline for availability of new environments to mitigate future delays",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
"Delays in requirement documentation, updated effort estimations, and timelines for Phase 2.","Delays in requirement documentation, updated effort estimations, and timelines for Phase 2. 
New dates needed for estimations and SOW  Project-Level Project Management                          Planning      Moderate    Possible      High","5/19 - still continues for requirements and efforst is dependent on it",This is a old risk identified for V1 which has been delivered.,Resolved,Client Relationship Mitigate
