risk_type,detected_indicators,mitigation,suggestions,owner
R001 - BOLA (Broken Object Level Authorization): Unauthorized access to sensitive data via ID manipulation,"Unauthorized data access attempts;Sequential ID enumeration patterns;Access to objects without proper authorization checks;Abnormal API call patterns targeting different object IDs","Implement object-level authorization checks for every API call;Use UUIDs instead of sequential IDs;Validate user permissions against requested object ownership;Implement audit logging for all object access attempts","Conduct regular penetration testing focused on BOLA vulnerabilities;Implement rate limiting per user;Use API gateway policies to enforce authorization;Train developers on secure coding practices",Security Lead
R002 - Insecure API Key Management: Keys hardcoded in client-side code or public repos,"API keys found in public repositories;Keys visible in client-side JavaScript code;Keys stored in version control history;Unauthorized API usage from leaked keys","Implement secure key management using vault solutions (HashiCorp Vault AWS Secrets Manager);Rotate API keys regularly;Use environment variables for key storage;Implement key scanning in CI/CD pipelines","Use OAuth 2.0 or JWT tokens instead of static API keys;Implement key expiration policies;Monitor for leaked keys using GitHub secret scanning;Conduct security awareness training for developers",Security Lead
R003 - Lack of Rate Limiting: Susceptibility to DoS or Brute Force attacks,"Abnormally high request volumes from single IP;Service degradation during traffic spikes;Successful brute force attempts;Resource exhaustion on API servers","Implement rate limiting at API gateway level;Use token bucket or sliding window algorithms;Set different rate limits for authenticated vs unauthenticated users;Implement IP-based throttling","Use CAPTCHA for sensitive endpoints;Implement progressive delays for repeated failures;Monitor rate limit violations and alert on anomalies;Use CDN with DDoS protection",DevOps Engineer
R004 - Mass Assignment: Updating internal object properties that shouldn't be exposed,"Unauthorized privilege escalation;Internal fields modified through API calls;User role changes without proper authorization;Unexpected object state modifications","Implement explicit allow-lists for updatable fields;Use Data Transfer Objects (DTOs) with strict field mapping;Validate all input parameters against allowed schemas;Implement field-level access controls","Conduct code reviews focusing on mass assignment vulnerabilities;Use ORM features to prevent mass assignment;Implement comprehensive input validation;Test APIs with unexpected parameter combinations",Security Lead
R005 - Broken Function Level Authorization: Accessing admin endpoints with a user token,"Regular users accessing administrative functions;Privilege escalation attempts;Unauthorized access to restricted endpoints;Missing role-based access control checks","Implement role-based access control (RBAC) for all endpoints;Validate user permissions at function level;Use middleware for authorization checks;Deny access by default and explicitly grant permissions","Implement least privilege principle;Regularly audit user roles and permissions;Use API gateway for centralized authorization;Conduct regular security assessments of authorization logic",Security Lead
R006 - Injection Flaws: SQL NoSQL or Command injection via API input parameters,"SQL error messages in API responses;Unusual database query patterns;Command execution attempts in input parameters;NoSQL query manipulation attempts","Use parameterized queries and prepared statements;Implement input validation and sanitization;Use ORM frameworks with built-in protection;Apply principle of least privilege for database accounts","Conduct regular security code reviews;Use static application security testing (SAST) tools;Implement web application firewall (WAF);Train developers on secure coding practices",Security Lead
R007 - Insufficient Logging & Monitoring: Delayed detection of an active breach,"Missing audit trails for security events;Delayed incident detection;Incomplete log data for forensic analysis;No alerting on suspicious activities","Implement comprehensive logging for all API calls;Log authentication attempts authorization failures and data access;Use centralized logging solutions (ELK Stack Splunk);Implement real-time monitoring and alerting","Define security monitoring KPIs;Implement SIEM solution for correlation;Establish incident response procedures;Regularly review and test monitoring effectiveness",Security Lead
R008 - Improper Assets Management: Using Shadow APIs (deprecated/unmanaged versions),"Undocumented API endpoints in production;Deprecated API versions still accessible;Inconsistent API inventory;Unknown or unmanaged API endpoints","Maintain comprehensive API inventory and documentation;Implement API versioning strategy with sunset policies;Use API discovery tools to identify shadow APIs;Decommission deprecated APIs with proper migration plans","Implement API governance framework;Use API management platform for centralized control;Conduct regular API audits;Establish API lifecycle management processes",API Product Manager
R009 - Excessive Data Exposure: API returning full JSON objects relying on UI to filter,"Sensitive data visible in API responses;PII exposed in logs;More data returned than required;Client-side filtering of sensitive information","Implement response filtering at API level;Return only required fields based on user context;Use field-level encryption for sensitive data;Implement data classification and handling policies","Conduct data flow analysis;Implement API response schemas;Use GraphQL for precise data fetching;Regular security assessments of data exposure",Data Engineer
R010 - Unprotected Webhooks: Lack of signature validation on incoming callbacks,"Webhook calls without signature verification;Unauthorized webhook triggers;Replay attacks on webhook endpoints;Missing timestamp validation","Implement HMAC signature verification for webhooks;Validate timestamp to prevent replay attacks;Use HTTPS for all webhook communications;Implement IP whitelisting for webhook sources","Store webhook secrets securely;Implement idempotency for webhook processing;Log all webhook activities;Test webhook security regularly",Security Lead
R011 - Man-in-the-Middle (MITM): Use of weak TLS versions or non-HTTPS endpoints,"Use of TLS 1.0 or 1.1;Unencrypted HTTP endpoints;Weak cipher suites;Missing certificate validation","Enforce TLS 1.2 or higher;Use strong cipher suites only;Implement HSTS (HTTP Strict Transport Security);Use certificate pinning for mobile apps","Regular SSL/TLS configuration audits;Monitor for protocol downgrade attacks;Use automated tools to check TLS configuration;Implement certificate lifecycle management",DevOps Engineer
R012 - CORS Misconfiguration: Overly permissive headers allowing malicious cross-site calls,"Wildcard CORS policies (Access-Control-Allow-Origin: *);Credentials allowed with wildcard origins;Missing CORS validation;Unrestricted cross-origin requests","Implement strict CORS policies with explicit origin whitelisting;Never use wildcard with credentials;Validate Origin header on server-side;Use preflight requests for sensitive operations","Regular CORS policy reviews;Implement CSP (Content Security Policy);Test CORS configuration with security tools;Document approved origins",Security Lead
